row,col,x,y,z
45,2,2.18,1.9,0
46,2,2.14,1.9,0
47,2,2.1,1.9,0
48,2,2.06,1.9,0
49,2,2.02,1.9,0.370000004768
50,2,1.98,1.9,0.370000004768
51,2,1.94,1.9,0.34999999404
52,2,1.9,1.9,0.34999999404
53,2,1.86,1.9,0.34999999404
54,2,1.82,1.9,0.34999999404
55,2,1.78,1.9,0.34999999404
56,2,1.74,1.9,0.34999999404
57,2,1.7,1.9,0.34999999404
58,2,1.66,1.9,0.34999999404
59,2,1.62,1.9,0.34999999404
60,2,1.58,1.9,0.34999999404
61,2,1.54,1.9,0.34999999404
62,2,1.5,1.9,0.34999999404
63,2,1.46,1.9,0.34999999404
64,2,1.42,1.9,0.34999999404
65,2,1.38,1.9,0.34999999404
66,2,1.34,1.9,0.34999999404
67,2,1.3,1.9,0.34999999404
68,2,1.26,1.9,0.34999999404
69,2,1.22,1.9,0.34999999404
70,2,1.18,1.9,0.34999999404
71,2,1.14,1.9,0.34999999404
72,2,1.1,1.9,0.34999999404
73,2,1.06,1.9,0.34999999404
74,2,1.02,1.9,0.370000004768
75,2,0.98,1.9,0.370000004768
76,2,0.94,1.9,0
77,2,0.9,1.9,0
78,2,0.86,1.9,0
79,2,0.82,1.9,0
80,2,0.78,1.9,0
81,2,0.74,1.9,0
82,2,0.7,1.9,0
83,2,0.66,1.9,0
84,2,0.62,1.9,0
85,2,0.58,1.9,0
86,2,0.54,1.9,0
87,2,0.5,1.9,0
88,2,0.46,1.9,0
89,2,0.42,1.9,0
90,2,0.38,1.9,0
91,2,0.34,1.9,0
92,2,0.3,1.9,0
93,2,0.26,1.9,0
94,2,0.22,1.9,0
95,2,0.18,1.9,0
96,2,0.14,1.9,0
97,2,0.1,1.9,0
98,2,0.06,1.9,0
99,2,0.02,1.9,0
100,2,-0.02,1.9,0
101,2,-0.06,1.9,0
102,2,-0.1,1.9,0
103,2,-0.14,1.9,0
104,2,-0.18,1.9,0
105,2,-0.22,1.9,0
106,2,-0.26,1.9,0
107,2,-0.3,1.9,0
108,2,-0.34,1.9,0
109,2,-0.38,1.9,0
110,2,-0.42,1.9,0
111,2,-0.46,1.9,0
112,2,-0.5,1.9,0
113,2,-0.54,1.9,0
114,2,-0.58,1.9,0
115,2,-0.62,1.9,0
116,2,-0.66,1.9,0
117,2,-0.7,1.9,0
118,2,-0.74,1.9,0
119,2,-0.78,1.9,0
120,2,-0.82,1.9,0
121,2,-0.86,1.9,0
122,2,-0.9,1.9,0
123,2,-0.94,1.9,0
124,2,-0.98,1.9,0
125,2,-1.02,1.9,0
126,2,-1.06,1.9,0
127,2,-1.1,1.9,0
128,2,-1.14,1.9,0
129,2,-1.18,1.9,0
130,2,-1.22,1.9,0
131,2,-1.26,1.9,0
132,2,-1.3,1.9,0
133,2,-1.34,1.9,0
134,2,-1.38,1.9,0
135,2,-1.42,1.9,0
136,2,-1.46,1.9,0
137,2,-1.5,1.9,0
138,2,-1.54,1.9,0
139,2,-1.58,1.9,0
140,2,-1.62,1.9,0
141,2,-1.66,1.9,0
142,2,-1.7,1.9,0
143,2,-1.74,1.9,0
144,2,-1.78,1.9,0
145,2,-1.82,1.9,0
146,2,-1.86,1.9,0
147,2,-1.9,1.9,0
148,2,-1.94,1.9,0
149,2,-1.98,1.9,0
150,2,-2.02,1.9,0
151,2,-2.06,1.9,0
152,2,-2.1,1.9,0
153,2,-2.14,1.9,0
154,2,-2.18,1.9,0
155,2,-2.22,1.9,0
156,2,-2.26,1.9,0
157,2,-2.3,1.9,0
158,2,-2.34,1.9,0
159,2,-2.38,1.9,0
160,2,-2.42,1.9,0
161,2,-2.46,1.9,0
162,2,-2.5,1.9,0
163,2,-2.54,1.9,0
164,2,-2.58,1.9,0
165,2,-2.62,1.9,0
166,2,-2.66,1.9,0
167,2,-2.7,1.9,0
168,2,-2.74,1.9,0
169,2,-2.78,1.9,0
170,2,-2.82,1.9,0
171,2,-2.86,1.9,0
172,2,-2.9,1.9,0
173,2,-2.94,1.9,0
174,2,-2.98,1.9,0
175,2,-3.02,1.9,0
176,2,-3.06,1.9,0
177,2,-3.1,1.9,0
178,2,-3.14,1.9,0
179,2,-3.18,1.9,0
180,2,-3.22,1.9,0
181,2,-3.26,1.9,0
182,2,-3.3,1.9,0
183,2,-3.34,1.9,0
184,2,-3.38,1.9,0
185,2,-3.42,1.9,0
186,2,-3.46,1.9,0
187,2,-3.5,1.9,0
188,2,-3.54,1.9,0
189,2,-3.58,1.9,0
190,2,-3.62,1.9,0
191,2,-3.66,1.9,0
192,2,-3.7,1.9,0
193,2,-3.74,1.9,0
194,2,-3.78,1.9,0
195,2,-3.82,1.9,0
196,2,-3.86,1.9,0
197,2,-3.9,1.9,0
198,2,-3.94,1.9,0
199,2,-3.98,1.9,0
0,3,3.98,1.86,0
1,3,3.94,1.86,0
2,3,3.9,1.86,0
3,3,3.86,1.86,0
4,3,3.82,1.86,0
5,3,3.78,1.86,0
6,3,3.74,1.86,0
7,3,3.7,1.86,0
8,3,3.66,1.86,0
9,3,3.62,1.86,0
10,3,3.58,1.86,0
11,3,3.54,1.86,0
12,3,3.5,1.86,0
13,3,3.46,1.86,0
14,3,3.42,1.86,0
15,3,3.38,1.86,0
16,3,3.34,1.86,0
17,3,3.3,1.86,0
18,3,3.26,1.86,0
19,3,3.22,1.86,0
20,3,3.18,1.86,0
21,3,3.14,1.86,0
22,3,3.1,1.86,0
23,3,3.06,1.86,0
24,3,3.02,1.86,0
25,3,2.98,1.86,0
26,3,2.94,1.86,0
27,3,2.9,1.86,0
28,3,2.86,1.86,0
29,3,2.82,1.86,0
30,3,2.78,1.86,0
31,3,2.74,1.86,0
